Category_actor,Film_actor,Nominee_actor,Winner_actor,Year_actor,Rating_IMDB_actor,Release_date_actor,Rating_rtaudience_actor,Rating_rtcritic_actor,Oscarstat_totalnoms_actor,Release_Q1_actor,Release_Q2_actor,Release_Q3_actor,Release_Q4_actor,Nom_BAFTA_actor,Win_BAFTA_actor,Nom_GoldenGlobe_comedy-leadacting_actor,Win_GoldenGlobe_comedy-leadacting_actor,Nom_GoldenGlobe_drama-leadacting_actor,Win_GoldenGlobe_drama-leadacting_actor,Nom_GoldenGlobe_supportingacting_actor,Win_GoldenGlobe_supportingacting_actor,Oscarstat_previousnominations_acting_actor,Oscarstat_previouswins_acting_actor,Oscarstat_previousnominee_acting_actor,Oscarstat_previouswinner_acting_actor,Nom_Oscar_bestfilm_actor,Birthyear_actor,Age_actor,Age_[0-25]_actor,Age_[25-35]_actor,Age_[35-45]_actor,Age_[45-55]_actor,Age_[55-65]_actor,Age_[65-75] _actor,Age_[75+] _actor,Genre_action_actor,Genre_adventure_actor,Genre_biography_actor,Genre_crime_actor,Genre_comedy_actor,Genre_drama_actor,Genre_horror_actor,Genre_fantasy_actor,Genre_sci-fi_actor,Genre_mystery_actor,Genre_music_actor,Genre_romance_actor,Genre_history_actor,Genre_thriller_actor,Genre_war_actor,Genre_sport_actor,Genre_family_actor,Genre_filmnoir_actor,Genre_western_actor,MPAA_rating_actor,MPAA_G_actor,MPAA_PG_actor,MPAA_PG-13_actor,MPAA_R_actor,MPAA_NC-17_actor,Nowin_Criticschoice_actor,Win_Criticschoice_actor,Nonom_Criticschoice_actor,Nom_Criticschoice_actor,Nowin_SAG_acting_actor,Win_SAG_acting_actor,Nonom_SAG_acting_actor,Nom_SAG_acting_actor,Nowin_SAG_bestcast_actor,Win_SAG_bestcast_actor,Nonom_SAG_bestcast_actor,Nom_SAG_bestcast_actor,Female_actor,Category_director,Film_director,Nominee_director,Winner_director,Year_director,Rating_IMDB_director,Release_date_director,Rating_rtaudience_director,Rating_rtcritic_director,Oscarstat_totalnoms_director,Win_GoldenGlobe_bestdirector_director,Win_BAFTA_director,Win_DGA_director,Nom_GoldenGlobe_bestdirector_director,Nom_BAFTA_director,Nom_DGA_director,Oscarstat_previouswins_bestdirector_director,Oscarstat_previousnominations_bestdirector_director,Nom_Oscar_bestfilm_director,Release_Q1_director,Release_Q2_director,Release_Q3_director,Release_Q4_director,Genre_biography_director,Genre_crime_director,Genre_comedy_director,Genre_drama_director,Genre_horror_director,Genre_fantasy_director,Genre_sci-fi_director,Genre_mystery_director,Genre_music_director,Genre_romance_director,Genre_history_director,Genre_war_director,Genre_filmnoir_director,Genre_western_director,Genre_thriller_director,Genre_sport_director,Genre_family_director,Genre_action_director,Genre_adventure_director,MPAA_rating_director,MPAA_G_director,MPAA_PG_director,MPAA_PG-13_director,MPAA_R_director,MPAA_NC-17_director,Nowin_Criticschoice_director,Win_Criticschoice_director,Nonom_Criticschoice_director,Nom_Criticschoice_director,Category_film,Film_film,Nominee_film,Winner_film,Year_film,Rating_IMDB_film,Release_date_film,Rating_rtaudience_film,Rating_rtcritic_film,Oscarstat_totalnoms_film,Release_Q1_film,Release_Q2_film,Release_Q3_film,Release_Q4_film,Nom_Oscar_bestdirector_film,Nom_DGA_film,Nom_BAFTA_film,Win_DGA_film,Win_BAFTA_film,Nom_GoldenGlobe_bestcomedy_film,Nom_GoldenGlobe_bestdrama_film,Win_GoldenGlobe_bestcomedy_film,Win_GoldenGlobe_bestdrama_film,Genre_action_film,Genre_biography_film,Genre_crime_film,Genre_comedy_film,Genre_drama_film,Genre_horror_film,Genre_fantasy_film,Genre_sci-fi_film,Genre_mystery_film,Genre_music_film,Genre_romance_film,Genre_history_film,Genre_war_film,Genre_filmnoir_film,Genre_thriller_film,Genre_adventure_film,Genre_family_film,Genre_sport_film,Genre_western_film,MPAA_rating_film,MPAA_G_film,MPAA_PG_film,MPAA_PG-13_film,MPAA_R_film,MPAA_NC-17_film,Nowin_Criticschoice_film,Win_Criticschoice_film,Nonom_Criticschoice_film,Nom_Criticschoice_film,Nowin_SAG_bestcast_film,Win_SAG_bestcast_film,Nonom_SAG_bestcast_film,Nom_SAG_bestcast_film,Nowin_PGA_film,Win_PGA_film,Nonom_PGA_film,Nom_PGA_film
Supporting Actress,The Last Picture Show,Cloris Leachman,1,1972,8.1,1971-10-22,90.0,100.0,8,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,1926.0,46.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Director,The Last Picture Show,Peter Bogdanovich,0,1972,8.1,1971-10-22,90,100,8,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,Picture,The Last Picture Show,The Last Picture Show,0,1972,8.1,1971-10-22,90,100,8,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Supporting Actress,The Last Picture Show,Ellen Burstyn,0,1972,8.1,1971-10-22,90.0,100.0,8,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,1932.0,40.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Director,The Last Picture Show,Peter Bogdanovich,0,1972,8.1,1971-10-22,90,100,8,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,Picture,The Last Picture Show,The Last Picture Show,0,1972,8.1,1971-10-22,90,100,8,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Actor,The Godfather,Marlon Brando,0,1973,9.2,1972-03-24,98.0,99.0,11,1,0,0,0,0,0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,1,1924.0,49.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director,The Godfather,Francis Ford Coppola,0,1973,9.2,1972-03-24,98,99,11,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,Picture,The Godfather,The Godfather,1,1973,9.2,1972-03-24,98,99,11,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Supporting Actor,The Godfather,James Caan,0,1973,9.2,1972-03-24,98.0,99.0,11,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,1940.0,33.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director,The Godfather,Francis Ford Coppola,0,1973,9.2,1972-03-24,98,99,11,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,Picture,The Godfather,The Godfather,1,1973,9.2,1972-03-24,98,99,11,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Supporting Actor,The Godfather,Robert Duvall,0,1973,9.2,1972-03-24,98.0,99.0,11,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1931.0,42.0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director,The Godfather,Francis Ford Coppola,0,1973,9.2,1972-03-24,98,99,11,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,Picture,The Godfather,The Godfather,1,1973,9.2,1972-03-24,98,99,11,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Supporting Actor,The Godfather,Al Pacino,0,1973,9.2,1972-03-24,98.0,99.0,11,1,0,0,0,0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,1940.0,33.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director,The Godfather,Francis Ford Coppola,0,1973,9.2,1972-03-24,98,99,11,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,Picture,The Godfather,The Godfather,1,1973,9.2,1972-03-24,98,99,11,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Actress,Cabaret,Liza Minnelli,1,1973,7.9,1972-02-13,87.0,97.0,10,1,0,0,0,1,1,1.0,1.0,0.0,0.0,0,0,1,0,1,0,1,1946.0,27.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Director,Cabaret,Bob Fosse,1,1973,7.9,1972-02-13,87,97,10,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,0,1,0,0,0,0,0,0,0,Picture,Cabaret,Cabaret,0,1973,7.9,1972-02-13,87,97,10,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supporting Actor,Cabaret,Joel Grey,1,1973,7.9,1972-02-13,87.0,97.0,10,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1932.0,41.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director,Cabaret,Bob Fosse,1,1973,7.9,1972-02-13,87,97,10,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,0,1,0,0,0,0,0,0,0,Picture,Cabaret,Cabaret,0,1973,7.9,1972-02-13,87,97,10,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actress,The Emigrants,Liv Ullmann,0,1973,8.0,1971-03-08,88.0,89.0,5,1,0,0,0,0,0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,1,1938.0,35.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,PG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Director,The Emigrants,Jan Troell,0,1973,8.0,1971-03-08,88,89,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,PG,0,1,0,0,0,0,0,0,0,Picture,The Emigrants,The Emigrants,0,1973,8.0,1971-03-08,88,89,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,PG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actor,The Sting,Robert Redford,0,1974,8.3,1973-12-25,95.0,93.0,10,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1936.0,38.0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director,The Sting,George Roy Hill,1,1974,8.3,1973-12-25,95,93,10,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,0,1,0,0,0,0,0,0,0,Picture,The Sting,The Sting,1,1974,8.3,1973-12-25,95,93,10,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actress,The Exorcist,Ellen Burstyn,0,1974,8.0,1973-12-26,87.0,86.0,10,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0,0,1,0,1,0,1,1932.0,42.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Director,The Exorcist,William Friedkin,0,1974,8.0,1973-12-26,87,86,10,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,Picture,The Exorcist,The Exorcist,0,1974,8.0,1973-12-26,87,86,10,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Supporting Actor,The Exorcist,Jason Miller,0,1974,8.0,1973-12-26,87.0,86.0,10,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1939.0,35.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director,The Exorcist,William Friedkin,0,1974,8.0,1973-12-26,87,86,10,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,Picture,The Exorcist,The Exorcist,0,1974,8.0,1973-12-26,87,86,10,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Supporting Actress,The Exorcist,Linda Blair,0,1974,8.0,1973-12-26,87.0,86.0,10,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1959.0,15.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Director,The Exorcist,William Friedkin,0,1974,8.0,1973-12-26,87,86,10,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,Picture,The Exorcist,The Exorcist,0,1974,8.0,1973-12-26,87,86,10,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Supporting Actress,American Graffiti,Candy Clark,0,1974,7.5,1973-09-01,84.0,95.0,5,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1947.0,27.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Director,American Graffiti,George Lucas,0,1974,7.5,1973-09-01,84,95,5,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,0,1,0,0,0,0,0,0,0,Picture,American Graffiti,American Graffiti,0,1974,7.5,1973-09-01,84,95,5,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actor,Lenny,Dustin Hoffman,0,1975,7.6,1974-12,88.0,100.0,6,0,0,0,1,1,0,0.0,0.0,1.0,0.0,0,0,2,0,1,0,1,1937.0,38.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director,Lenny,Bob Fosse,0,1975,7.6,1974-12,88,100,6,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,Picture,Lenny,Lenny,0,1975,7.6,1974-12,88,100,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Actress,Lenny,Valerie Perrine,0,1975,7.6,1974-12,88.0,100.0,6,0,0,0,1,1,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,1943.0,32.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Director,Lenny,Bob Fosse,0,1975,7.6,1974-12,88,100,6,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,Picture,Lenny,Lenny,0,1975,7.6,1974-12,88,100,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Actor,Chinatown,Jack Nicholson,0,1975,8.2,1974-06-20,93.0,98.0,11,0,1,0,0,0,0,0.0,0.0,1.0,1.0,0,0,3,0,1,0,1,1937.0,38.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director,Chinatown,Roman Polanski,0,1975,8.2,1974-06-20,93,98,11,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,R,0,0,0,1,0,0,0,0,0,Picture,Chinatown,Chinatown,0,1975,8.2,1974-06-20,93,98,11,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Actress,Chinatown,Faye Dunaway,0,1975,8.2,1974-06-20,93.0,98.0,11,0,1,0,0,1,0,0.0,0.0,1.0,0.0,0,0,1,0,1,0,1,1941.0,34.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Director,Chinatown,Roman Polanski,0,1975,8.2,1974-06-20,93,98,11,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,R,0,0,0,1,0,0,0,0,0,Picture,Chinatown,Chinatown,0,1975,8.2,1974-06-20,93,98,11,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Actor,The Godfather Part II,Al Pacino,0,1975,9.0,1974-12-20,97.0,97.0,11,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0,0,2,0,1,0,1,1940.0,35.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director,The Godfather Part II,Francis Ford Coppola,1,1975,9.0,1974-12-20,97,97,11,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,Picture,The Godfather Part II,The Godfather Part II,1,1975,9.0,1974-12-20,97,97,11,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Supporting Actor,The Godfather Part II,Robert De Niro,1,1975,9.0,1974-12-20,97.0,97.0,11,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1943.0,32.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director,The Godfather Part II,Francis Ford Coppola,1,1975,9.0,1974-12-20,97,97,11,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,Picture,The Godfather Part II,The Godfather Part II,1,1975,9.0,1974-12-20,97,97,11,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Supporting Actor,The Godfather Part II,Michael V. Gazzo,0,1975,9.0,1974-12-20,97.0,97.0,11,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1923.0,52.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director,The Godfather Part II,Francis Ford Coppola,1,1975,9.0,1974-12-20,97,97,11,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,Picture,The Godfather Part II,The Godfather Part II,1,1975,9.0,1974-12-20,97,97,11,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Supporting Actor,The Godfather Part II,Lee Strasberg,0,1975,9.0,1974-12-20,97.0,97.0,11,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1901.0,74.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director,The Godfather Part II,Francis Ford Coppola,1,1975,9.0,1974-12-20,97,97,11,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,Picture,The Godfather Part II,The Godfather Part II,1,1975,9.0,1974-12-20,97,97,11,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Supporting Actress,The Godfather Part II,Talia Shire,0,1975,9.0,1974-12-20,97.0,97.0,11,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1946.0,29.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Director,The Godfather Part II,Francis Ford Coppola,1,1975,9.0,1974-12-20,97,97,11,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,Picture,The Godfather Part II,The Godfather Part II,1,1975,9.0,1974-12-20,97,97,11,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Actor,One Flew Over the Cuckoo's Nest,Jack Nicholson,1,1976,8.7,1975-11-19,96.0,95.0,0,0,0,0,1,1,1,0.0,0.0,1.0,1.0,0,0,4,0,1,0,1,1937.0,39.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director,One Flew Over the Cuckoo's Nest,Milo Forman,1,1976,8.7,1975-11-19,96,95,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,Picture,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,1,1976,8.7,1975-11-19,96,95,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Actress,One Flew Over the Cuckoo's Nest,Louise Fletcher,1,1976,8.7,1975-11-19,96.0,95.0,0,0,0,0,1,1,1,0.0,0.0,1.0,1.0,0,0,0,0,0,0,1,1934.0,42.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Director,One Flew Over the Cuckoo's Nest,Milo Forman,1,1976,8.7,1975-11-19,96,95,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,Picture,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,1,1976,8.7,1975-11-19,96,95,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
